Id,link,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Tags,AnswerCount,CommentCount,FavoriteCount,Title,ClosedDate,CommunityOwnedDate,ContentLicense,SDLC,Type,Type2,Non-function,Annotator,,
4861270,4861270,1,,,2011-02-01 10:12:14,,1,8273,591761,,,,,2011-02-01 16:44:40,<salesforce>,2,0,,how to create a new apex class in enterprice edition,,,CC BY-SA 2.5,Application Design,How,,,Combined,,
4032976,4032976,1,,,2010-10-27 12:09:23,,1,2519,322095,,441574,,2012-02-21 15:51:35,2012-02-21 15:51:35,<apex-code><visualforce>,1,1,1,how to pass a list of objects over VF page,,,CC BY-SA 3.0,Application Design,How,,,Combined,,
2220076,2220076,1,,,2010-02-08 7:09:20,,1,2225,268477,,268477,,2010-02-08 7:23:26,2010-02-08 17:54:51,<single-sign-on><salesforce><aes>,1,1,,How do I use AES 256-bit encryption when integrating with SalesForce?,,,CC BY-SA 2.5,Application Design,How,,,Combined,,
3166902,3166902,1,3168058,,2010-07-02 15:05:11,,0,152,212307,,,,,2010-07-02 18:02:23,<filemaker>,1,0,,Sending and retrieving a constant field,,,CC BY-SA 2.5,Application Design,What,,,Combined,,
32736416,32736416,1,,,2015-09-23 9:57:14,,5,16616,2119289,,2119289,,2016-05-09 15:31:52,2016-09-06 10:56:19,<rest><google-chrome><http><post><webmethods>,2,0,,how to send POST HTTP request from Google Chrome without any extensions?,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
49675462,49675462,1,,,2018-04-05 14:55:26,,3,4003,890822,,890822,,2018-04-05 16:24:39,2019-12-09 6:13:28,<base64><powerapps>,1,3,,Decode Base64 string as image and Display using .image property in Powerapps,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
35947671,35947671,1,35989348,,2016-03-11 18:45:29,,0,3072,5472505,,4636600,,2016-03-11 19:48:57,2019-03-18 0:33:58,<tibco><spotfire>,3,3,,Spotfire - Change data path without replacing data table,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
47247819,47247819,1,,,2017-11-12 10:38:18,,1,2780,8927467,,1160161,,2017-11-12 10:53:21,2020-07-17 12:43:54,<oracle-apex><oracle-apex-5.1>,2,0,,Hide Header Row in classic report Oracle Application Express 5.1,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
42839800,42839800,1,42845376,,2017-03-16 16:33:22,,0,1999,3055463,,3055463,,2017-03-17 12:59:21,2017-03-17 13:10:58,<xml><api><powershell><servicenow>,3,1,,Pull Specific INC or CR from ServiceNow via Powershell,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
45672938,45672938,1,51124401,,2017-08-14 10:55:04,,0,1943,6403274,,2911737,,2017-08-14 15:14:30,2018-07-01 14:57:16,<powerapps>,2,1,,pass information and display in label control in another screen in power apps,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
29696953,29696953,1,,,2015-04-17 10:39:37,,3,1466,4800642,,,,,2018-12-01 7:03:54,<javascript><oracle-apex>,2,5,2,how to find a URL is aready opened in another tab of same browser,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
30886841,30886841,1,,,2015-06-17 8:57:20,,0,1436,4977591,,,,,2015-08-12 15:48:55,<xml><http-post><filemaker>,1,2,,HTTP Post - XML URL Encoding,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
33144767,33144767,1,,,2015-10-15 9:29:29,,1,1378,5072184,,,,,2015-10-17 0:24:16,<oracle-apex>,2,0,,same dynamic action for multiple buttons APEX 5.0,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
33816818,33816818,1,34847290,,2015-11-20 0:16:13,,0,804,975928,,,,,2016-01-18 4:21:34,<weblogic12c><spring-jms><tibco><tibco-ems>,1,0,,Weblogic12c setup + Spring JMSTemplate +Tibco EMS,,,CC BY-SA 3.0,Application Design,How,,,Sadia,,
