significance,relevance,tags_recommended,tags_recommended_count,tags_relevant,tags_relavant_pct
0.05,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'xpages', 'tabular-form', 'oracle-xe', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'xpages-ssjs', 'xpages-extlib', 'livelink', 'test-class', 'beatbox', 'spotfire', 'exacttarget', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'power-automate', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",61,26,42.6
0.1,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'xpages', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'spotfire', 'exacttarget', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'power-automate', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",58,26,44.8
0.15,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'spotfire', 'exacttarget', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",56,26,46.4
0.2,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'exacttarget', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",55,26,47.3
0.25,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",54,26,48.1
0.3,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",54,26,48.1
0.35,0.001,"['lotus', 'lotusscript', 'ems', 'apex-code', 'force.com', 'tibco-ems', 'soql', 'domino-designer-eclipse', 'tibco-rv', 'lotus-formula', 'businessworks', 'visualforce', 'interop-domino', 'lov', 'tabular-form', 'tibco-business-works', 'tibco-designer', 'salesforce-chatter', 'apex', 'databasedotcom-gem', 'salesforce-service-cloud', 'livelink', 'test-class', 'beatbox', 'simple-salesforce', 'salesforce-ios-sdk', 'aura-framework', 'oracle-ords', 'apex-trigger', 'oracle-apex-5', 'lightning', 'salesforce-lightning', 'salesforce-communities', 'sfdc', 'oci-java-sdk', 'oracle-apex-5.1', 'servicenow-rest-api', 'orocommerce', 'powerapps-formula', 'common-data-service', 'jsforce', 'salesforce-marketing-cloud', 'powerapps-selected-items', 'powerapps-modeldriven', 'ibm-domino', 'powerapps-collection', 'powerapps-canvas', 'oracle-apex-18.2', 'lwc', 'salesforce-development', 'oracle-apex-19.1', 'oracle-apex-19.2', 'power-platform']",53,25,47.2
0.05,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'xpages', 'apex', 'salesforce-service-cloud', 'spotfire', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",21,14,66.7
0.1,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'xpages', 'apex', 'salesforce-service-cloud', 'spotfire', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",21,14,66.7
0.15,0.005,"['lotus', 'lotusscript', 'apex-code', 'force.com', 'lotus-notes', 'soql', 'domino-designer-eclipse', 'lotus-formula', 'visualforce', 'apex', 'salesforce-service-cloud', 'spotfire', 'oracle-apex-5', 'salesforce-lightning', 'salesforce-communities', 'oracle-apex-5.1', 'servicenow-rest-api', 'powerapps-formula', 'powerapps-canvas', 'lwc']",20,14,70
